
Schematic Net Listing
-------------------------------- -------------------------------- --- --- ------ --- --- ------ ------ - -------------------- ---
Part                             Reference                        Sym Sub    Pin Eqv Sub   Pin     Pin Phantom    Net         Net
Number                           Designator                       Num Typ    Id  Cls Pak   Text    Num Flag       Name        Num
-------------------------------- -------------------------------- --- --- ------ --- --- ------ ------ - -------------------- ---
10-0057                          C16                               22   1      1   1   1 1           1 0 VCC                 (43-2-13)
10-0057                          C16                               22   1      2   1   1 2           2 0 GND                 (43-1-13)
10-0057                          C17                               21   1      1   1   1 1           1 0 VCC                 (43-2-13)
10-0057                          C17                               21   1      2   1   1 2           2 0 GND                 (43-1-13)
10-0057                          C18                               20   1      1   1   1 1           1 0 VCC                 (43-2-13)
10-0057                          C18                               20   1      2   1   1 2           2 0 GND                 (43-1-13)
10-0057                          C21                               19   1      1   1   1 1           1 0 VCC                 (43-2-13)
10-0057                          C21                               19   1      2   1   1 2           2 0 GND                 (43-1-13)
10-0057                          C22                               14   1      1   1   1 1           1 0 RSTn                (3862-1-13)
10-0057                          C22                               14   1      2   1   1 2           2 0 GND                 (43-1-13)
10-0057                          C24                               15   1      1   1   1 1           1 0 VBAT_PROBE          (3125-2-13)
10-0057                          C24                               15   1      2   1   1 2           2 0 GND                 (43-1-13)
10-0100                          C8                                66   1      1   1   1 1           1 0 VCC5                (2986-3-13)
10-0100                          C8                                66   1      2   1   1 2           2 0 XSIG030172          (3218-5-13)
10-0103                          C3                                 5   1      1   1   1 1           1 0 VBAT                (3792-2-13)
10-0103                          C3                                 5   1      2   1   1 2           2 0 GND                 (43-1-13)
10-0103                          C4                                 8   1      1   1   1 1           1 0 VCC                 (43-2-13)
10-0103                          C4                                 8   1      2   1   1 2           2 0 GND                 (43-1-13)
10-0103                          C5                                 4   1      1   1   1 1           1 0 VBAT                (3792-2-13)
10-0103                          C5                                 4   1      2   1   1 2           2 0 GND                 (43-1-13)
10-0103                          C6                                 6   1      1   1   1 1           1 0 VCC5                (2986-3-13)
10-0103                          C6                                 6   1      2   1   1 2           2 0 GND                 (43-1-13)
10-0103                          C9                                 7   1      1   1   1 1           1 0 VCC                 (43-2-13)
10-0103                          C9                                 7   1      2   1   1 2           2 0 GND                 (43-1-13)
10-0111                          C10                               70   1      1   1   1 1           1 0 VCC5                (2986-3-13)
10-0111                          C10                               70   1      2   1   1 2           2 0 GND                 (43-1-13)
10-0111                          C13                               71   1      1   1   1 1           1 0 VCC                 (43-2-13)
10-0111                          C13                               71   1      2   1   1 2           2 0 GND                 (43-1-13)
20-0064                          D3                                68   1      1   1   1 2           2 0 XSIG030175          (3218-6-13)
20-0064                          D3                                68   1      2   2   1 1           1 0 VCC5                (2986-3-13)
30-0004                          Q1                                36   1      1   1   1 3           3 0 LED_DO_5V           (2986-2-13)
30-0004                          Q1                                36   1      2   2   1 1           1 0 SPI_LED_DO          (2907-22-13)
30-0004                          Q1                                36   1      3   3   1 2           2 0 GND                 (43-1-13)
Schematic Net Listing
-------------------------------- -------------------------------- --- --- ------ --- --- ------ ------ - -------------------- ---
Part                             Reference                        Sym Sub    Pin Eqv Sub   Pin     Pin Phantom    Net         Net
Number                           Designator                       Num Typ    Id  Cls Pak   Text    Num Flag       Name        Num
-------------------------------- -------------------------------- --- --- ------ --- --- ------ ------ - -------------------- ---
30-0004                          Q3                                35   1      1   1   1 3           3 0 LED_CK_5V           (2986-1-13)
30-0004                          Q3                                35   1      2   2   1 1           1 0 SPI_LED_CK          (2907-21-13)
30-0004                          Q3                                35   1      3   3   1 2           2 0 GND                 (43-1-13)
30-0019                          Q4                                41   1      1   1   1 3           3 0 XSIG020157          (2986-4-13)
30-0019                          Q4                                41   1      2   2   1 1           1 0 IR_LED              (2907-25-13)
30-0019                          Q4                                41   1      3   3   1 2           2 0 GND                 (43-1-13)
30-0019                          Q8                                43   1      1   1   1 3           3 0 XSIG020166          (3201-3-13)
30-0019                          Q8                                43   1      2   2   1 1           1 0 IR_LED_L            (3201-4-13)
30-0019                          Q8                                43   1      3   3   1 2           2 0 GND                 (43-1-13)
30-0019                          Q9                                42   1      1   1   1 3           3 0 XSIG020170          (3201-5-13)
30-0019                          Q9                                42   1      2   2   1 1           1 0 IR_LED_R            (3201-6-13)
30-0019                          Q9                                42   1      3   3   1 2           2 0 GND                 (43-1-13)
40-0232                          U8                                48   1      1   1   1 2           2 0 XSIG030147          (3125-13-13)
40-0232                          U8                                48   1      2   2   1 9           9 0 XSIG030154          (3125-15-13)
40-0232                          U8                                48   1      3   3   1 5           5 0 GND                 (43-1-13)
40-0232                          U8                                48   1      4   4   1 1           1 0 XSIG030149          (3125-14-13)
40-0232                          U8                                48   1      5   5   1 8           8 0 VBAT                (3792-2-13)
40-0232                          U8                                48   1      6   6   1 3           3 0 XSIG030141          (3125-10-13)
40-0232                          U8                                48   1      7   7   1 4           4 0 XSIG030142          (3125-11-13)
40-0232                          U8                                48   1      8   8   1 10         10 0 XSIG030156          (3125-17-13)
40-0232                          U8                                48   1      9   9   1 7           7 0 VBAT                (3792-2-13)
40-0232                          U8                                48   1     10  10   1 6           6 0 VCC                 (43-2-13)
40-0261                          U4                                69   1      1   1   1 4           4 0 XSIG030189          (3218-7-13)
40-0261                          U4                                69   1      2   2   1 3           3 0 XSIG030172          (3218-5-13)
40-0261                          U4                                69   1      3   3   1 1           1 0 XSIG030175          (3218-6-13)
40-0261                          U4                                69   1      4   4   1 5           5 0 VBAT                (3792-2-13)
40-0261                          U4                                69   2      1   1   2 2           2 0 GND                 (43-1-13)
40-0291                          U2                                 9   1      1   1   1 10         11 0 PHASE_MTR_L         (2907-11-13)
40-0291                          U2                                 9   1      2   2   1 9          10 0 ENABLE_MTR_L        (2907-12-13)
40-0291                          U2                                 9   1      3   3   1 2           3 0 MTR_L_1             (2907-16-13)
40-0291                          U2                                 9   1      4   4   1 3           4 0 MTR_L_2             (2907-7-13)
40-0291                          U2                                 9   1      5   5   1 8           9 0 PHASE_MTR_R         (2907-13-13)
40-0291                          U2                                 9   1      6   6   1 7           8 0 ENABLE_MTR_R        (2907-14-13)
40-0291                          U2                                 9   1      7   7   1 4           5 0 MTR_R_1             (2907-15-13)
40-0291                          U2                                 9   1      8   8   1 5           6 0 MTR_R_2             (2907-10-13)
40-0291                          U2                                 9   1      9   9   1 11         12 0 GND                 (43-1-13)
40-0291                          U2                                 9   1     10  10   1 1           2 0 VCC5                (2986-3-13)
40-0291                          U2                                 9   2      1   1   2 12         13 0 VCC                 (43-2-13)
40-0291                          U2                                 9   3      1   1   3 PAD         1 0 GND                 (43-1-13)
40-0291                          U2                                 9   3      1   1   4 6           7 0 GND                 (43-1-13)
40-0292                          U6                                59   1      1   1   1 60         60 0 XSIG011041          (3218-3-13)
40-0292                          U6                                59   1      2   2   1 14         14 0 VBAT_PROBE          (3125-2-13)
40-0292                          U6                                59   1      3   3   1 15         15 0 INFRA_LED_L         (2907-8-13)
40-0292                          U6                                59   1      4   4   1 16         16 0 PHASE_MTR_L         (2907-11-13)
40-0292                          U6                                59   1      5   5   1 17         17 0 ENABLE_MTR_L        (2907-12-13)
40-0292                          U6                                59   1      6   6   1 20         20 0 INFRA_LED_R         (2907-9-13)
40-0292                          U6                                59   1      7   7   1 21         21 0 PHASE_MTR_R         (2907-13-13)
40-0292                          U6                                59   1      8   8   1 22         22 0 ENABLE_MTR_R        (2907-14-13)
40-0292                          U6                                59   1      9   9   1 23         23 0 INFRA_TRA_L         (2907-19-13)
40-0292                          U6                                59   1     10  10   1 41         41 0                     (0-0-0)
